Site Category,Image Src,Code,Title,Price,Body (HTML),Collection,Vendor,Weight,Weight Unit,Status
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200033.jpg,ULT200033,Textured Cardstock 12x12 - Emerald/Verdant ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200034.jpg,ULT200034,Textured Cardstock 12x12 - Surf/Cressida ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200035.jpg,ULT200035,Textured Cardstock 12x12 - Moss/Lush  ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200036.jpg,ULT200036,Textured Cardstock 12x12 - Grass/Leprechaun ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200037.jpg,ULT200037,Textured Cardstock 12x12 - Leaf/Olive Grove ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200038.jpg,ULT200038,Textured Cardstock 12x12 - Spinach/Jungle ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200039.jpg,ULT200039,Textured Cardstock 12x12 - Olive/Battle Fatigue ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200040.jpg,ULT200040,Textured Cardstock 12x12 - Coffee/Chocolate ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200041.jpg,ULT200041,Textured Cardstock 12x12 - Chestnut/Fencepost ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
Cardstock,https://www.thewholesaler.biz/images/prods/big/Couture-Creations-Textured-Cardstock-ULT200042.jpg,ULT200042,Textured Cardstock 12x12 - Chocolate/Firewood ,9.00,"The best cardstock for die cutting, crisp folding, clean scoring and elaborate embossing.",Cardstock,The Wholesaler,216,g,Draft
